
1.8.1t	{Ἀρχιμήδης Δοσιθέῳ χαίρειν} 
1.162.4	πλευραὶ αἱ Β, Γ, Δ, Ε, Ζ, Η τῷ ἴσῳ ἀλλαλᾶν ὑπερέχουσαι, 
1.162.5	καὶ ἁ ὑπεροχὰ ἔστω ἴσα τᾷ ἐλαχίστᾳ, καὶ μεγίστα μὲν 
1.162.6	ἔστω ἁ Β, ἐλαχίστα δὲ ἁ Η· ἔστω δὲ καὶ ἄλλα χωρία, 
1.162.7	ἐφ' ὧν ἕκαστον τῶν Θ, Ι, Κ, Λ, τῷ μὲν πλήθει ἴσα τούτοις, 
1.162.8	τῷ δὲ μεγέθει ἕκαστον ἴσον ἔστω τῷ μεγίστῳ τῷ παρὰ τὰν 
1.162.9	ΑΒ παρακειμένῳ, ἔστω δὲ ἁ μὲν ΘΙ γραμμὰ ἴσα τᾷ Α, 
1.162.10	ἁ δὲ ΚΛ ἴσα τᾷ Β, καὶ τᾶν μὲν ΘΙ γραμμᾶν ἑκάστα ἔστω 
1.162.11	διπλασία τᾶς Ι, τᾶν δὲ ΚΛ ἑκάστα τριπλασία τᾶς Κ· 
1.162.12	δεικτέον ὅτι τὰ χωρία πάντα, ἐν οἷς τὰ Θ, Ι, Κ, Λ, ποτὶ 
1.162.13	μὲν πάντα τὰ ἕτερα χωρία τὰ ΑΒ, ΑΓ, ΑΔ, ΑΕ, ΑΖ, ΑΗ 
1.162.14	ἐλάσσονα λόγον ἔχει τοῦ ὃν ἔχει ἁ ΘΙΚΛ εὐθεῖα ποτὶ τὰν 
1.162.15	ΙΚ, ποτὶ δὲ τὰ λοιπὰ ἄνευ τοῦ μεγίστου τοῦ ΑΒ μείζονα 
1.162.16	λόγον ἔχοντι τοῦ αὐτοῦ λόγου.  
1.162.17	  Ἔστι γάρ τινα χωρία, ἐν οἷς τὰ Α, τῷ ἴσῳ ἀλλάλων 
1.162.18	ὑπερέχοντα, καὶ ἁ ὑπεροχὰ ἴσα τῷ ἐλαχίστῳ [ἐπεί τε  
1.163.1	τὰ παραβλήματα καὶ τὰ πλάτη τῷ ἴσῳ ὑπερέχουσιν], καὶ 
1.163.2	ἄλλα χωρία, ἐν οἷς τὰ Θ, Ι, τῷ μὲν πλήθει ἴσα τούτοις, τῷ 
1.163.3	δὲ μεγέθει ἕκαστον ἴσον τῷ μεγίστῳ· σύμπαντα οὖν τὰ 
1.163.4	χωρία, ἐν οἷς τὰ Θ, Ι, πάντων μὲν τῶν ἐν οἷς τὰ Α ἐλάσσονά 
1.163.5	ἐντι ἢ διπλασίονα, τῶν δὲ λοιπῶν χωρὶς τοῦ μεγίστου 
1.163.6	μείζονα ἢ διπλασίονα. Αὐτὰ οὖν τὰ χωρία, ἐν οἷς τὰ Ι, 
1.163.7	πάντων μὲν τῶν ἐν οἷς τὰ Α ἐλάσσονά ἐντι, τῶν δὲ λοιπῶν 
1.163.8	ἄνευ τοῦ μεγίστου μείζονα. Πάλιν ἐντὶ γραμμαί τινες αἱ 
1.163.9	Β, Γ, Δ, Ε, Ζ, Η τῷ ἴσῳ ἀλλαλᾶν ὑπερέχουσαι, καὶ ἁ 
1.163.10	ὑπεροχὰ ἴσα τᾷ ἐλαχίστᾳ, καὶ ἄλλαι γραμμαί, ἐφ' ἇν τὰ 
1.163.11	Κ, Λ, τῷ μὲν πλήθει ἴσαι ταύταις, τῷ δὲ μεγέθει ἑκάστα 
1.163.12	ἴσα τᾷ μεγίστᾳ· τὰ οὖν τετράγωνα τὰ ἀπὸ πασᾶν τᾶν 
1.163.13	ἰσᾶν ἀλλάλαις τε καὶ τᾷ μεγίστᾳ πάντων μὲν τῶν τετραγώ-
1.163.14	νων τῶν ἀπὸ τᾶν τῷ ἴσῳ ἀλλαλᾶν ὑπερεχουσᾶν ἐλάσσονά 
1.163.15	ἐντι ἢ τριηλάσια, τῶν δὲ λοιπῶν χωρὶς τοῦ ἀπὸ τᾶς 
1.163.16	μεγίστας τετραγώνου μείζονα ἢ τριπλάσια· δέδεικται γὰρ 
1.163.17	τοῦτο ἐν τοῖς περὶ τᾶν ἑλίκων ἐκδεδομένοις. Τὰ οὖν χωρία, 
1.163.18	ἐν οἷς τὸ Κ, πάντων μὲν τῶν χωρίων, ἐν οἷς τὰ Β, Γ, Δ, Ε, 
1.163.19	Ζ, Η, ἐλάσσονά ἐστιν, αὐτῶν δὲ τῶν ἐν οἷς τὰ Γ, Δ, Ε, Ζ, Η, 
1.163.20	μείζονα· ὥστε καὶ πάντα τὰ χωρία, ἐν οἷς τὰ Ι, Κ, πάντων 
1.163.21	μὲν τῶν ἐν οἷς τὰ ΑΒ, ΑΓ, ΑΔ, ΑΕ, ΑΖ, ΑΗ, ἐλάσσονά ἐστι, 
1.163.22	τῶν δὲ ἐν οἷς τὰ ΑΓ, ΑΔ, ΑΕ, ΑΖ, ΑΗ, μείζονα. Δῆλον οὖν 
1.163.23	ὅτι πάντα τὰ χωρία, ἐν οἷς τὰ Θ, Ι, Κ, Λ ποτὶ μὲν τὰ χωρία,  
1.164.1	ἐν οἷς τὰ ΑΒ, ΑΓ, ΑΔ, ΑΕ, ΑΖ, ΑΗ, ἐλάσσονα λόγον 
1.164.2	ἔχοντι τοῦ ὃν ἔχει ἁ ΘΛ ποτὶ τὰν ΙΚ, ποτὶ δὲ τὰ λοιπὰ 
1.164.3	χωρὶς τοῦ ἐν ᾧ τὸ ΑΒ μείζονα τοῦ αὐτοῦ λόγου. 
1.164.4	    γʹ. 
1.164.5	  Εἴ κα κώνου τομᾶς ὁποιασοῦν εὐθεῖαι ἐπιψαύωντι ἀπὸ 
1.164.6	τοῦ αὐτοῦ σαμείου ἀγμέναι, ἔωντι δὲ καὶ ἄλλαι εὐθεῖαι ἐν 
1.164.7	τᾷ τοῦ κώνου τομᾷ παρὰ τὰς ἐπιψαυούσας ἀγμέναι καὶ 
1.164.8	τέμνουσαι ἀλλάλας, τὰ περιεχόμενα ὑπὸ τῶν τμαμάτων τὸν 
1.164.9	αὐτὸν ἑξοῦντι λόγον ποτ' ἄλλαλα, ὃν τὰ τετράγωνα τὰ 
1.164.10	ἀπὸ τᾶν ἐπιψαυουσᾶν· ὁμόλογον δὲ ἐσσεῖται τὸ περιεχό-
1.164.11	μενον ὑπὸ τῶν τᾶς ἑτέρας γραμμᾶς τμαμάτων τῷ τετρα-
1.164.12	γώνῳ τῷ ἀπὸ τᾶς ἐπιψαυούσας τᾶς παραλλήλου αὐτᾷ. 
1.164.13	Ἀποδέδεικται δὲ τοῦτο ἐν τοῖς κωνικοῖς στοιχείοις. 
1.164.14	  Εἴ κα ἀπὸ τᾶς αὐτᾶς ὀρθογωνίου κώνου τομᾶς δύο 
1.164.15	τμάματα ἀποτμαθέωντι ὁπωσοῦν ἴσας ἔχοντα τὰς διαμέτ-
1.164.16	ρους, αὐτὰ δὲ τὰ τμάματα ἴσα ἐσσοῦνται καὶ τὰ τρίγωνα 
1.164.17	τὰ ἐγγραφόμενα εἰς αὐτὰ τὰν αὐτὰν βάσιν ἔχοντα τοῖς 
1.164.18	τμαμάτεσσι καὶ ὕψος τὸ αὐτό· διάμετρον δὲ καλέω παντὸς 
1.164.19	τμάματος τὰν δίχα τέμνουσαν τὰς εὐθείας πάσας τὰς 
1.164.20	παρὰ τὰν βάσιν αὐτοῦ ἀγομένας. 
1.164.21	  Ἔστω ὀρθογωνίου κώνου τομὰ ἁ ΑΒΓ, καὶ ἀποτετμήσθω 
1.164.22	ἀπ' αὐτᾶς δύο τμάματα τό τε ΑΔΕ καὶ τὸ ΘΒΓ, ἔστω δὲ τοῦ 
1.164.23	μὲν ΑΔΕ τμάματος διάμετρος ἁ ΔΖ, τοῦ δὲ ΘΒΓ ἁ ΒΗ, καὶ 
1.164.24	ἔστων ἴσαι αἱ ΔΖ, ΒΗ· δεικτέον ὅτι τὰ τμάματα ἴσα ἐστὶ τὰ 
1.164.25	ΑΔΕ, ΘΒΓ καὶ τὰ τρίγωνα τὰ ἐγγραφόμενα τὸν εἰρημένον 
1.164.26	τρόπον ἐν αὐτοῖς.  
1.165.1	   Ἔστω δὴ πρῶτον ἁ ἀποτέμνουσα τὸ ἕτερον τμᾶμα ἁ ΘΓ 
1.165.2	ποτ' ὀρθὰς τᾷ διαμέτρῳ τᾶς τοῦ ὀρθογωνίου κώνου τομᾶς, 
1.165.3	λελάφθω δὲ παρ' ἃν δύνανται αἱ ἀπὸ τᾶς τομᾶς, ἁ 
1.165.4	διπλασία τᾶς μέχρι τοῦ ἄξονος, καὶ ἔστω ἐφ' ᾇ τὸ Μ, 
1.165.5	ἀπὸ δὲ τοῦ Α κάθετος ἄχθω ἐπὶ τὰν ΔΖ ἁ ΑΚ. Ἐπεὶ οὖν 
1.165.6	διάμετρός ἐντι ἁ ΔΖ τοῦ τμάματος, ἁ δὲ ΑΕ δίχα τέμνεται 
1.165.7	κατὰ τὸ Ζ, καὶ ἁ ΔΖ παρὰ τὰν διάμετρόν ἐστι τᾶς τοῦ 
1.165.8	ὀρθογωνίου κώνου τομᾶς· οὕτω γὰρ δίχα τέμνει πάσας τὰς 
1.165.9	παρὰ τὰν ΑΕ ἀγομένας. Ὃν δὴ λόγον ἔχει τὸ τετράγωνον 
1.165.10	τὸ ἀπὸ τᾶς ΑΖ ποτὶ τὸ τετράγωνον τὸ ἀπὸ τᾶς ΑΚ, τοῦτον 
1.165.11	ἐχέτω ἁ Ν ποτὶ τὰν Μ· αἱ δὴ ἀπὸ τᾶς τομᾶς ἐπὶ τὰν ΔΖ 
1.165.12	ἀγόμεναι παρὰ τὰν ΑΕ δύνανται τὰ παρὰ τὰν ἴσαν τᾷ Ν 
1.165.13	παραπίπτοντα πλάτος ἔχοντα, ἃς αὐτοὶ ἀπολαμβάνοντι 
1.165.14	ἀπὸ τᾶς ΔΖ ποτὶ τὸ Δ πέρας· δέδεικται γὰρ ἐν τοῖς 
1.165.15	κωνικοῖς· δύναται οὖν καὶ ἁ ΑΖ ἴσον τῷ περιεχομένῳ ὑπὸ 
1.165.16	τᾶς Ν καὶ τᾶς ΔΖ. Δύναται δὲ καὶ ἁ ΘΗ ἴσον τῷ περιεχο-
1.165.17	μένῳ ὑπό τε τᾶς Μ καὶ τᾶς ΒΗ, ἐπεὶ κάθετός ἐστιν ἁ ΘΗ ἐπὶ 
1.165.18	τὰν διάμετρον· ἔχοι οὖν κα τὸ τετράγωνον τὸ ἀπὸ τᾶς ΑΖ  
1.166.1	ποτὶ τὸ τετράγωνον τὸ ἀπὸ τᾶς ΘΗ τὸν αὐτὸν λόγον, ὃν ἁ 
1.166.2	Ν ποτὶ τὰν Μ, ἐπεὶ ἴσαι ὑπέκειντο αἱ ΔΖ, ΒΗ. Ἔχει δὲ τὸ 
1.166.3	ἀπὸ τᾶς ΑΖ τετράγωνον καὶ ποτὶ τὸ ἀπὸ τᾶς ΑΚ τὸν αὐτὸν 
1.166.4	λόγον, ὃν ἁ Ν ποτὶ τὰν Μ· ἴσαι ἄρα ἐντὶ αἱ ΘΗ, ΑΚ. Ἐντὶ 
1.166.5	δὲ ἴσαι καὶ αἱ ΒΗ, ΔΖ· ὥστε ἴσον ἐστὶ τὸ ὑπὸ τᾶν ΘΗ, ΒΗ 
1.166.6	περιεχόμενον τῷ ὑπὸ τᾶν ΑΚ, ΔΖ. Ἴσον ἄρα ἐστὶν καὶ τὸ 
1.166.7	ΘΗΒ τρίγωνον τῷ ΔΑΖ τριγώνῳ· ὥστε καὶ τὰ διπλάσια. 
1.166.8	Ἔστι δὲ τοῦ μὲν ΑΔΕ τριγώνου ἐπίτριτον τὸ ΑΔΕ τμᾶμα, 
1.166.9	τοῦ δὲ ΘΒΓ τριγώνου ἐπίτριτον τὸ ΘΒΓ τμᾶμα· δῆλον 
1.166.10	οὖν ὅτι τά τε τμάματά ἐστιν ἴσα καὶ τὰ τρίγωνα τὰ 
1.166.11	ἐγγραφόμενα εἰς αὐτά. 
1.166.12	  Εἰ δὲ μηδετέρα τᾶν τὰ τμάματα ἀποτεμνουσᾶν ποτ' 
1.166.13	ὀρθάς ἐντι τᾷ διαμέτρῳ τᾶς τοῦ ὀρθογωνίου κώνου τομᾶς, 
1.166.14	ἀπολαφθείσας ἀπὸ τᾶς διαμέτρου τᾶς τοῦ ὀρθογωνίου 
1.166.15	κώνου τομᾶς ἴσας τᾷ διαμέτρῳ τᾷ τοῦ ἑνὸς τμάματος καὶ 
1.166.16	ἀπὸ τοῦ πέρατος τᾶς ἀπολαφθείσας ποτ' ὀρθὰς ἀχθείσας 
1.166.17	τᾷ διαμέτρῳ, τὸ γενόμενον τμᾶμα ἑκατέρῳ τῶν τμαμάτων 
1.166.18	ἴσον ἐσσεῖται. Δῆλον οὖν ἐστι τὸ προτεθέν. 
1.166.19	    δʹ. 
1.166.20	  Πᾶν χωρίον τὸ περιεχόμενον ὑπὸ ὀξυγωνίου κώνου τομᾶς 
1.166.21	ποτὶ τὸν κύκλον τὸν ἔχοντα τὰν διάμετρον ἴσαν τᾷ μείζονι 
1.166.22	διαμέτρῳ τᾶς τοῦ ὀξυγωνίου κώνου τομᾶς τὸν αὐτὸν ἔχει 
1.166.23	λόγον, ὃν ἁ ἐλάσσων διάμετρος αὐτᾶς ποτὶ τὰν μείζω ἢ 
1.166.24	ποτὶ τὰν τοῦ κύκλου διάμετρον. 
1.166.25	  Ἔστω γὰρ ὀξυγωνίου κώνου τομά, ἐφ' ἇς τὰ Α, Β, Γ, Δ, 
1.166.26	διάμετρος δὲ αὐτᾶς ἁ μὲν μείζων ἔστω, ἐφ' ἇς τὰ Α, Γ, ἁ δὲ 
1.166.27	ἐλάσσων, ἐφ' ἇς τὰ Β, Δ, ἔστω δὲ κύκλος περὶ διάμετρον 
1.166.28	τὰν ΑΓ· δεικτέον ὅτι τὸ περιεχόμενον χωρίον ὑπὸ τᾶς τοῦ  
1.167.1	ὀξυγωνίου κώνου τομᾶς 
1.167.2	ποτὶ τὸν κύκλον τὸν αὐτὸν 
1.167.3	ἔχει λόγον, ὃν ἁ ΒΔ ποτὶ 
1.167.4	τὰν ΓΑ, τουτέστι τὰν ΕΖ. 
1.167.5	Ὃν δὴ λόγον ἔχει ἁ ΒΔ ποτὶ 
1.167.6	τὰν ΕΖ, τοῦτον ἐχέτω ὁ κύ-
1.167.7	κλος, ἐν ᾧ τὸ Ψ, ποτὶ τὸν 
1.167.8	ΑΕΓΖ κύκλον· λέγω ὅτι 
1.167.9	ἴσος ἐστὶν ὁ Ψ κύκλος τᾷ 
1.167.10	τοῦ ὀξυγωνίου κώνου τομᾷ. 
1.167.11	  Εἰ γὰρ μή ἐστιν ἴσος ὁ 
1.167.12	Ψ κύκλος τῷ περιεχομένῳ 
1.167.13	χωρίῳ ὑπὸ τᾶς τοῦ ὀξυ-
1.167.14	γωνίου κώνου τομᾶς, ἔστω 
1.167.15	πρῶτον, εἰ δυνατόν, μείζων. 
1.167.16	Δυνατὸν δή ἐστιν εἰς τὸν 
1.167.17	Ψ κύκλον πολύγωνον 
1.167.18	ἐγγράψαι ἀρτιόγωνον μεῖ-
1.167.19	ζον τοῦ ΑΒΓΔ χωρίου. 
1.167.20	Νοείσθω δὴ ἐγγεγραμμέ-
1.167.21	νον, ἐγγεγράφθω δὲ καὶ 
1.167.22	εἰς τὸν ΑΕΓΖ κύκλον 
1.167.23	εὐθύγραμμον ὁμοῖον τῷ ἐν τῷ Ψ κύκλῳ ἐγγεγραμ-
1.167.24	μένῳ, καὶ ἀπὸ τᾶν γωνιᾶν αὐτοῦ κάθετοι ἄχθωσαν 
1.167.25	ἐπὶ τὰν ΑΓ διάμετρον, ἐπὶ δὲ τὰ σαμεῖαι καθ' ἃ 
1.167.26	τέμνοντι αἱ κάθετοι τὰν τοῦ ὀξυγωνίου κώνου τομάν, 
1.167.27	εὐθεῖαι ἐπεζεύχθωσαν· ἐσσεῖται δή τι ἐν τᾷ τοῦ ὀξυγωνίου 
1.167.28	κώνου τομᾷ ἐγγεγραμμένον εὐθύγραμμον, καὶ ἕξει αὐτὸ 
1.167.29	ποτὶ τὸ εὐθύγραμμον τὸ ἐν τῷ ΑΕΓΖ κύκλῳ ἐγγεγραμμένον 
1.167.30	τὸν αὐτὸν λόγον, ὃν ἁ ΒΔ ποτὶ τὰν ΕΖ. Ἐπεὶ γὰρ αἱ ΕΘ,  
1.168.1	ΚΛ κάθετοι εἰς τὸν αὐτὸν λόγον τέτμηνται κατὰ τὰ Μ, Β, 
1.168.2	δῆλον ὅτι τὸ ΛΕ τραπέζιον ποτὶ τὸ ΘΜ τὸν αὐτὸν ἔχει 
1.168.3	λόγον, ὃν ἁ ΘΕ ποτὶ τὰν ΒΘ. Διὰ ταὐτὰ δὲ καὶ τῶν ἄλλων 
1.168.4	τραπεζίων ἕκαστον τῶν ἐν τῷ κύκλῳ ποθ' ἕκαστον τῶν 
1.168.5	τραπεζίων τῶν ἐν τᾷ τοῦ ὀξυγωνίου κώνου τομᾷ τοῦτον 
1.168.6	ἔχει τὸν λόγον, ὃν ἁ ΕΘ ποτὶ τὰν ΒΘ. Ἔχοντι δὲ καὶ τὰ 
1.168.7	τρίγωνα τὰ ποτὶ τοῖς Α, Γ τὰ ἐν τῷ κύκλῳ ποτὶ τὰ ἐν τᾷ τοῦ 
1.168.8	ὀξυγωνίου κώνου τομᾷ τοῦτον τὸν λόγον· ἕξει οὖν καὶ 
1.168.9	ὅλον τὸ εὐθύγραμμον τὸ ἐν τῷ ΑΕΓΖ κύκλῳ ἐγγεγραμμένον 
1.168.10	ποτὶ ὅλον τὸ ἐγγεγραμμένον εὐθύγραμμον ἐν τᾷ τοῦ 
1.168.11	ὀξυγωνίου κώνου τομᾷ τὸν αὐτὸν λόγον, ὃν ἁ ΕΖ ποτὶ τὰν 
1.168.12	ΒΔ. Ἔχει δὲ τὸ αὐτὸ εὐθύγραμμον καὶ ποτὶ τὸ ἐν τῷ Ψ 
1.168.13	κύκλῳ ἐγγεγραμμένον τοῦτον τὸν λόγον, διότι καὶ οἱ κύκλοι 
1.168.14	τοῦτον εἶχον τὸν λόγον· ἴσον ἄρα ἐστὶν τὸ εὐθύγραμμον τὸ 
1.168.15	ἐν τῷ Ψ κύκλῳ ἐγγεγραμμένον τῷ εὐθυγράμμῳ τῷ ἐν τᾷ τοῦ 
1.168.16	ὀξυγωνίου κώνου τομᾷ ἐγγεγραμμένῳ· ὅπερ ἀδύνατον· 
1.168.17	μεῖζον γὰρ ἦν ὅλου τοῦ περιεχομένου χωρίου ὑπὸ τᾶς τοῦ 
1.168.18	ὀξυγωνίου τομᾶς. 
1.168.19	  Ἀλλ' ἔστω, εἰ δυνατόν, ἐλάσσων. Πάλιν δὴ δυνατὸν 
1.168.20	εἰς τὰν τοῦ ὀξυγωνίου κώνου τομὰν ἐγγράψαι πολύγωνον 
1.168.21	ἀρτιόπλευρον μεῖζον τοῦ Ψ κύκλου. Ἐγγεγράφθω οὖν, καὶ 
1.168.22	ἀπὸ τᾶν γωνιᾶν αὐτοῦ κάθετοι ἀχθεῖσαι ἐπὶ τὰν ΑΓ ἐκβε-
1.168.23	βλήσθωσαν ποτὶ τὰν τοῦ κύκλου περιφέρειαν· πάλιν οὖν 
1.168.24	ἐσσεῖταί τι ἐν τῷ ΑΕ κύκλῳ εὐθύγραμμον ἐγγεγραμμένον, 
1.168.25	ὃ ἕξει ποτὶ τὸ ἐν τᾷ τοῦ ὀξυγωνίου κώνου τομᾷ ἐγγεγραμ-
1.168.26	μένον τὸν αὐτὸν λόγον, ὃν ἁ ΕΖ ποτὶ τὰν ΒΔ. Ἐγγρα-
1.168.27	φέντος δὴ καὶ εἰς τὸν Ψ κύκλον ὁμοίου αὐτῷ δειχθήσεται 
1.168.28	τὸ ἐν τῷ Ψ κύκλῳ ἐγγεγραμμένον ἴσον ἐὸν τῷ ἐν τᾷ τοῦ 
1.168.29	ὀξυγωνίου κώνου τομᾷ ἐγγεγραμμένῳ· ὅπερ ἀδύνατον· 
1.168.30	οὐκ ἔστιν οὖν οὐδὲ ἐλάσσων ὁ Ψ κύκλος τοῦ χωρίου τοῦ  
1.169.1	περιεχομένου ὑπὸ τᾶς τοῦ ὀξυγωνίου κώνου τομᾶς. 
1.169.2	Δῆλον οὖν ὅτι τὸ εἰρημένον χωρίον ποτὶ τὸν ΑΕΓΖ κύκλον 
1.169.3	τὸν αὐτὸν ἔχει λόγον, ὃν ἁ ΒΔ ποτὶ τὰν ΕΖ. 
1.169.4	    εʹ. 
1.169.5	  Πᾶν χωρίον περιεχόμενον ὑπὸ ὀξυγωνίου κώνου τομᾶς 
1.169.6	ποτὶ πάντα κύκλον τὸν αὐτὸν ἔχει λόγον, ὃν τὸ περιεχόμε-
1.169.7	νον ὑπὸ τᾶν διαμέτρων 
1.169.8	τᾶς τοῦ ὀξυγωνίου κώνου 
1.169.9	τομᾶς ποτὶ τὸ ἀπὸ τᾶς 
1.169.10	τοῦ κύκλου διαμέτρου 
1.169.11	τετράγωνον. 
1.169.12	  Ἔστω γάρ τι χωρίον 
1.169.13	περιεχόμενον ὑπὸ ὀξυ-
1.169.14	γωνίου κώνου τομᾶς, ἐν 
1.169.15	ᾧ τὸ Χ, διάμετροι δὲ 
1.169.16	ἔστωσαν τᾶς τοῦ ὀξυγω-
1.169.17	νίου κώνου τομᾶς αἱ ΑΓ, 
1.169.18	ΒΔ, μείζων δὲ ἁ ΑΓ, καὶ 
1.169.19	κύκλος ἔστω, ἐν ᾧ Ψ, 
1.169.20	διάμετρος δὲ αὐτοῦ ἁ 
1.169.21	ΕΖ· δεικτέον ὅτι τὸ Χ 
1.169.22	χωρίον ποτὶ τὸν Ψ κύκλον 
1.169.23	τὸν αὐτὸν ἔχει λόγον, ὃν 
1.169.24	τὸ περιεχόμενον ὑπὸ τᾶν 
1.169.25	ΑΓ, ΒΔ ποτὶ τὸ ἀπὸ τᾶς 
1.169.26	ΕΖ τετράγωνον. Περιγε-
1.169.27	γράφθω δὴ κύκλος περὶ 
1.169.28	διάμετρον τὰν ΑΓ· τὸ δὴ 
1.169.29	Χ χωρίον ποτὶ τὸν κύκλον, οὗ διάμετρος ἁ ΑΓ, τὸν αὐτὸν 
1.169.30	ἔχει λόγον, ὃν τὸ περιεχόμενον ὑπὸ τᾶν ΑΓ, ΒΔ ποτὶ τὸ  
1.170.1	ἀπὸ τᾶς ΑΓ τετράγωνον· δέδεικται γὰρ ἔχον ὃν ἁ ΒΔ ποτὶ 
1.170.2	τὰν ΑΓ. Ἔχει δὲ καὶ ὁ κύκλος, οὗ διάμετρος ἁ ΑΓ, ποτὶ τὸν 
1.170.3	κύκλον, οὗ διάμετρος ἁ ΕΖ, τὸν αὐτὸν λόγον, ὃν τὸ ἀπὸ 
1.170.4	τᾶς ΑΓ τετράγωνον ποτὶ τὸ ἀπὸ τᾶς ΕΖ· δῆλον οὖν ὅτι τὸ 
1.170.5	Χ χωρίον ποτὶ τὸν Ψ κύκλον τὸν αὐτὸν ἔχει λόγον, ὃν τὸ 
1.170.6	ὑπὸ τᾶν ΑΓ, ΒΔ περιεχόμενον ποτὶ τὸ ἀπὸ τᾶς ΕΖ τετρά-
1.170.7	γωνον. 
1.170.8	    Ϛʹ. 
1.170.9	  Τὰ περιεχόμενα χωρία ὑπὸ ὀξυγωνίου κώνου τομᾶς τὸν 
1.170.10	αὐτὸν ἔχοντι λόγον ποτ' 
1.170.11	ἄλλαλα, ὃν τὰ περιεχό-
1.170.12	μενα ὑπὸ τᾶν διαμέτρων 
1.170.13	τᾶν τῶν ὀξυγωνίων κώνων 
1.170.14	τομᾶν ποτ' ἄλλαλα. 
1.170.15	  Ἔστω περιεχόμενα 
1.170.16	χωρία ὑπὸ ὀξυγωνίου 
1.170.17	κώνου τομᾶς, ἐν οἷς τὰ 
1.170.18	Α, Β, ἔστω δὲ καὶ τὸ μὲν 
1.170.19	ΓΔ περιεχόμενον ὑπὸ τᾶν 
1.170.20	διαμέτρων τᾶς τοῦ ὀξυ-
1.170.21	γωνίου κώνου τομᾶς τᾶς 
1.170.22	περιεχούσας τὸ Α χω-
1.170.23	ρίον, τὸ δὲ ΕΖ περιεχό-
1.170.24	μενον ὑπὸ τᾶν διαμέτρων 
1.170.25	τᾶς ἑτέρας τομᾶς· δεικ-
1.170.26	τέον ὅτι τὸ Α χωρίον 
1.170.27	ποτὶ τὸ Β τὸν αὐτὸν ἔχει 
1.170.28	λόγον, ὃν τὸ ΓΔ ποτὶ τὸ 
1.170.29	ΕΖ.  
1.171.1	  Λελάφθω δὴ κύκλος τις, ἐν ᾧ τὸ Ψ, ἀπὸ δὲ τᾶς διαμέτρου 
1.171.2	αὐτοῦ τετράγωνον ἔστω τὸ ΚΛ. Ἔχει δὴ τὸ μὲν Α χωρίον 
1.171.3	ποτὶ τὸν Ψ κύκλον τὸν αὐτὸν λόγον, ὃν τὸ ΓΔ ποτὶ τὸ ΚΛ, 
1.171.4	ὁ δὲ Ψ κύκλος ποτὶ τὸ Β χωρίον τὸν αὐτὸν λόγον, ὃν τὸ ΚΛ 
1.171.5	ποτὶ τὸ ΕΖ· δῆλον οὖν ὅτι τὸ Α χωρίον ποτὶ τὸ Β τὸν αὐτὸν 
1.171.6	ἔχει λόγον, ὃν τὸ ΓΔ ποτὶ τὸ ΕΖ. 
1.171.7t	{ΠΟΡΙΣΜΑ.} 
1.171.8	  Ἐκ τούτου δὲ φανερὸν ὅτι τὰ περιεχόμενα χωρία ὑπὸ 
1.171.9	ὁμοιᾶν ὀξυγωνίου κώνου τομᾶν τὸν αὐτὸν λόγον ἔχοντι 
1.171.10	ποτ' ἄλλαλα, ὃν ἔχοντι δυνάμει ποτ' ἀλλάλας αἱ ὁμόλογοι 
1.171.11	διάμετροι τᾶν τομᾶν. 
1.171.12	      ζʹ. 
1.171.13	  Ὀξυγωνίου κώνου τομᾶς δοθείσας καὶ γραμμᾶς ἀπὸ τοῦ 
1.171.14	κέντρου τᾶς τοῦ ὀξυγωνίου κώνου τομᾶς ἀνεστακούσας 
1.171.15	ὀρθᾶς ποτὶ τὸ ἐπίπεδον, ἐν ᾧ ἐστιν ἁ τοῦ ὀξυγωνίου κώνου 
1.171.16	τομά, δυνατόν ἐστι κῶνον εὑρεῖν κορυφὰν ἔχοντα τὸ πέρας 
1.171.17	τᾶς ἀνεστακούσας εὐθείας, οὗ ἐν τᾷ ἐπιφανείᾳ ἐσσεῖται 
1.171.18	ἁ δοθεῖσα τοῦ ὀξυγωνίου κώνου τομά. 
1.171.19	  Δεδόσθω τις ὀξυγωνίου κώνου τομά, καὶ ἀπὸ τοῦ 
1.171.20	κέντρου αὐτᾶς εὐθεῖα γραμμὰ ἀνεστάκουσα ὀρθὰ ποτὶ τὸ 
1.171.21	ἐπίπεδον, ἐν ᾧ ἐστιν ἁ τοῦ ὀξυγωνίου κώνου τομά, διὰ δὲ 
1.171.22	τᾶς ἀνεστακούσας εὐθείας καὶ τᾶς ἐλάσσονος διαμέτρου 
1.171.23	ἐπίπεδόν τι ἐκβεβλήσθω, καὶ ἔστω ἐν αὐτῷ ἁ μὲν ἐλάσσων 
1.171.24	διάμετρος ἁ ΑΒ, τὸ δὲ κέντρον τᾶς τοῦ ὀξυγωνίου κώνου 
1.171.25	τομᾶς τὸ Δ, ἁ δὲ ἀπὸ τοῦ κέντρου ἀνεστάκουσα ὀρθὰ ἁ 
1.171.26	ΓΔ, πέρας δὲ αὐτᾶς τὸ Γ, ἁ δὲ τοῦ ὀξυγωνίου κώνου τομὰ 
1.171.27	νοείσθω περὶ διάμετρον τὰν ΑΒ γεγραμμένα ἐν ἐπιπέδῳ  
